repeticao,nome_img,filtro,config,f1score,precision,recall,tempo_ms,cpu_time_ms,horario_inicio,horario_fim
1,RGB_012.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.1272857314657164,0.17019872033582722,0.10165498973845703,1.4777390024391934,1.4709900000000609,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_013.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.059606067165048876,0.2547861362180628,0.03375097811843011,0.6548300007125363,0.6547210000000803,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_013.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.0738398375885829,0.18507869249394673,0.0461200516635084,1.4822689990978688,1.4693400000003187,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_014.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.04960827176844154,0.24842189372752696,0.02755546101553706,0.7378990012512077,0.7310199999999156,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_014.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.07748608493667003,0.22031152647975077,0.04701002419633599,1.482869000028586,1.4705199999998086,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_015.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.0773529089514627,0.15882384077916578,0.05112673056443025,2.2040789990569465,2.1848110000002308,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_015.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.1840742805775861,0.27704612012125157,0.13782321618743343,1.5379789983853698,1.5294599999999825,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_016.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.08485432527063055,0.14607387746073877,0.05979446783466884,0.6575590014108457,0.6573599999999402,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_016.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.1940741497409356,0.25999756713195266,0.154819140748789,1.4723690001119394,1.4664509999997577,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_017.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.10026305005882276,0.16615189152482968,0.07179297876972296,0.6633189987041987,0.6560799999997258,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_017.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.08559563905909724,0.1499277371052195,0.059895315709269197,1.5357390002463944,1.5184399999998988,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_018.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.09426987812663933,0.13917439123961386,0.07127352776599212,0.6523699994431809,0.6522300000000314,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_018.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.10758444225605802,0.1704471203211052,0.07859703493269875,1.4728690002812073,1.4663299999999602,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_019.jpg,Sobel,"{'ddepth': 0, 'dx': 1, 'dy': 0, 'ksize': 3}",0.09242550610357116,0.24055254070054266,0.057201848853851385,0.667119998979615,0.6588010000001532,10/05/2026 10:22:18,10/05/2026 10:22:18
1,RGB_019.jpg,Laplacian,"{'ddepth': 0, 'ksize': 3}",0.07700048379293663,0.21973713275900156,0.04667886722507684,1.561989000038011,1.5506409999996862,10/05/2026 10:22:18,10/05/2026 10:22:18
